,Metric,Value (average),Value (std)
0,R2,0.7105151184689403,0.03190295491814421
1,Accuracy,0.8498115382007999,0.018561646738302774
2,Precision,0.8689962649349251,0.020620211672061534
3,Sensitivity,0.8919148242962952,0.02306444977569644
4,Specificity,0.781888,0.03564511953884816
5,F1 score,0.8800337381882878,0.015230181714992923
6,F1 score (weighted),0.8491234863664125,0.018621185985407525
7,F1 score (macro),0.839275059475117,0.02005220185154352
8,Balanced Accuracy,0.8368996778687796,0.020199710507352912
9,MCC,0.6800255574063635,0.04002243027853924
10,NPV,0.8174419999999999,0.03657676350596686
11,ROC_AUC,0.8368996778687796,0.020199710507352923
