,Metric,Value (average),Value (std)
0,R2,0.7048529168526981,0.03173160058861243
1,Accuracy,0.8504182767270017,0.01849165157321877
2,Precision,0.8727174967726553,0.020727855185261768
3,Sensitivity,0.8878220212760103,0.02051883895223894
4,Specificity,0.789914,0.03535043809444783
5,F1 score,0.8799908559163185,0.015244581262812138
6,F1 score (weighted),0.8499665539725172,0.018629172843931327
7,F1 score (macro),0.8403783726464192,0.020040042440080712
8,Balanced Accuracy,0.8388682583564119,0.020560963088658058
9,MCC,0.6817014093597759,0.040034431938459576
10,NPV,0.813056,0.032515949995066004
11,ROC_AUC,0.8388682583564119,0.02056096308865806
