,molecule_chembl_id,smiles,type,pchembl_value_average,standard_value_average,pchembl_ave_fromStandard,diff
787,CHEMBL4088276,COc1cc(NC(=O)NOCCCCCC(=O)NO)c2nccc(C)c2c1,IC50,7.61,24.80,7.61,-0.00
788,CHEMBL4551484,O=C(NO)c1ccc(Cn2nnc(Cc3ccccn3)n2)cc1,IC50,7.60,25.00,7.60,0.00
789,CHEMBL4472834,O=C(NO)c1ccc(CN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)cc1,IC50,7.60,25.00,7.60,0.00
790,CHEMBL1094152,O=C(/C=C/c1cccc(-c2nc3ccccc3n2[C@H]2CCCNC2)c1)NO,IC50,7.60,25.00,7.60,0.00
791,CHEMBL1097369,O=C(/C=C/c1cccc(-c2nc3ccccc3n2C2CCCCC2)c1)NO,IC50,7.60,25.00,7.60,0.00
792,CHEMBL3601341,CC(C)N1CCN(c2nccc3ccc(NC(=O)CCCCCCC(=O)NO)cc23)CC1,IC50,7.60,25.00,7.60,0.00
793,CHEMBL483477,O=C(CCCCCCC(=O)NCCc1ccccc1)NO,IC50,7.60,25.00,7.60,0.00
794,CHEMBL4454925,O=C(NO)c1ccc(Cn2nnc(-c3ccc(S(F)(F)(F)(F)F)cc3)n2)cc1,IC50,7.60,25.00,7.60,0.00
795,CHEMBL4060607,O=C(NO)c1ccc(CNc2cccc3c2CCCC3)cc1,IC50,7.60,25.30,7.60,-0.00
796,CHEMBL4069121,O=C(/C=C/c1ccc(CNc2cccc3ncccc23)cc1)NO,IC50,7.60,25.30,7.60,-0.00
797,CHEMBL4549502,COc1ccc(C(=O)N(CCC(=O)NCc2ccccc2)Cc2ccc(C(=O)NO)cc2)cc1,IC50,7.60,25.30,7.60,-0.00
798,CHEMBL3633769,COc1cc2ncnc(Nc3ccc(Cl)cc3Cl)c2cc1OCCCCCC(=O)NO,IC50,7.59,25.50,7.59,0.00
799,CHEMBL3971359,O=C(NO)c1ccc(CN2C(=O)N[C@@H](Cc3ccccc3)C2=O)cc1,IC50,7.59,25.60,7.59,0.00
800,CHEMBL4562808,COc1cc(OC)cc(C(=O)N(CCC(=O)NCc2ccccc2)Cc2ccc(C(=O)NO)cc2)c1,IC50,7.58,26.00,7.59,0.01
801,CHEMBL4515650,O=C(NO)c1ccc(Cn2nnc(-c3cccc(S(F)(F)(F)(F)F)c3)n2)cc1,IC50,7.58,26.00,7.59,0.01
802,CHEMBL4521590,O=C(Cc1cccc2ccccc12)Nc1ccc(C(=O)NO)nc1,IC50,7.58,26.00,7.59,0.01
803,CHEMBL3758882,O=C(NCCCCCCS)c1cc(-c2cccnc2)n[nH]1,IC50,7.58,26.00,7.59,0.01
804,CHEMBL2442797,COc1cc([C@@H]2c3cc4c(cc3[C@@H](Nc3ccc(OCCCCCC(=O)NO)cc3)[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,IC50,7.58,26.00,7.59,0.01
805,CHEMBL4644775,COc1cc(Oc2ccc3nc(/C=C/C(=O)NO)ccc3c2)cc(OC)c1OC,IC50,7.58,26.50,7.58,-0.00
806,CHEMBL2312164,Cc1cccc(C(=O)NOCCCCCC(=O)NO)c1,IC50,7.57,26.90,7.57,0.00
807,CHEMBL3339021,O=C(CCCCCC(=O)Nc1cc2c(Nc3ccccc3)ncnc2s1)NO,IC50,7.57,26.99,7.57,-0.00
808,CHEMBL4227770,Cc1ccc(-c2cc(C(F)(F)F)nn2Cc2ccc(C(=O)NO)cc2)cc1,IC50,7.57,27.00,7.57,-0.00
809,CHEMBL4102456,CCN(CC)CCNC(=O)c1ccc(-c2cn(CCCCCCCC(=O)NO)nn2)cc1,IC50,7.57,27.00,7.57,-0.00
810,CHEMBL489332,O=C(/C=C/c1ccc2c(c1)nc(CCc1ccccc1)n2CCN1CCCCC1)NO,Ki,7.57,27.00,7.57,-0.00
811,CHEMBL2442802,COc1cc([C@@H]2c3cc4c(cc3[C@@H](Nc3ccccc3OCCCCCCC(=O)NO)[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,IC50,7.57,27.00,7.57,-0.00
812,CHEMBL569192,O=C(O)c1ccc(-c2ccc(C(=O)C(F)(F)F)s2)cc1,IC50,7.57,27.00,7.57,-0.00
813,CHEMBL3763388,CN(/N=C/c1ccc(C(=O)NO)cc1)C(=O)c1ccc(N(C)C)cc1,IC50,7.57,27.00,7.57,-0.00
814,CHEMBL4435002,CC[C@H](Nc1nc(N)nc(C(F)F)c1C#N)c1nc2cccc(NCc3ccc(C(=O)NO)cc3)c2c(=O)n1-c1ccccc1,IC50,7.57,27.00,7.57,-0.00
815,CHEMBL3758261,O=C(NCCCCCCS)c1cc(-c2ccccn2)n[nH]1,IC50,7.57,27.00,7.57,-0.00
816,CHEMBL3758457,O=C(/C=C/c1ccc(/C=C(/CNC2CC2)c2ccc(F)cc2)cc1)NO,IC50,7.57,27.00,7.57,-0.00
817,CHEMBL4579774,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCCCCCC(=O)NO)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,IC50,7.55,28.00,7.55,0.00
818,CHEMBL3951291,O=C(CCCCCOc1ccc2cc1COC/C=C/COCc1cccc(c1)-c1ccnc(n1)N2)NO,IC50,7.55,28.00,7.55,0.00
819,CHEMBL4469267,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCCCCCCC(=O)NO)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,IC50,7.55,28.00,7.55,0.00
820,CHEMBL4443378,CC[C@H](Nc1nc(N)nc(C)c1C#N)c1nc2cccc(CCCCCC(=O)NO)c2c(=O)n1-c1ccccc1,IC50,7.55,28.00,7.55,0.00
821,CHEMBL2333343,CNC(=O)c1ccc(C(=O)NO)cc1,IC50,7.55,28.00,7.55,0.00
822,CHEMBL469187,O=C(CCCCCCC(=O)Nc1ccc([C@@H]2O[C@H](c3ccccc3)C[C@H](CSc3ccncc3)O2)cc1)NO,Ki,7.55,28.00,7.55,0.00
823,CHEMBL570589,CC(=O)c1ccc(-c2ccc(C(=O)C(F)(F)F)s2)cc1,IC50,7.54,29.00,7.54,-0.00
824,CHEMBL4226433,O=C(CCCCCNC(=O)c1cc(-c2ccc(F)cc2)[nH]n1)NO,IC50,7.54,29.00,7.54,-0.00
825,CHEMBL2425958,Cc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1CCc1ccccc1,IC50,7.54,29.00,7.54,-0.00
826,CHEMBL4228291,Cc1ccc(-c2cc(C)nn2Cc2ccc(C(=O)NO)cc2)cc1,IC50,7.54,29.00,7.54,-0.00
827,CHEMBL4244887,COc1ccc2nc3cc(Cl)ccc3c(Nc3ccc(-c4cn(CCCCCC(=O)NO)nn4)cc3)c2c1,IC50,7.54,29.00,7.54,-0.00
828,CHEMBL4593341,COCCOCC(=O)SCCCCCC(NC(=O)OCc1ccccc1)C(=O)Nc1cccc2cccnc12,IC50,7.54,29.00,7.54,-0.00
829,CHEMBL4451298,CNc1nc(Nc2cnn(CCCCCCC(=O)NO)c2)ncc1Cl,IC50,7.54,29.00,7.54,-0.00
830,CHEMBL3927508,O=C(NO)c1ccc(Cn2cnc3ccccc32)cc1,IC50,7.53,29.40,7.53,0.00
831,CHEMBL3601340,O=C(CCCCCCC(=O)Nc1ccc2ccnc(N3CCOCC3)c2c1)NO,IC50,7.53,29.50,7.53,0.00
832,CHEMBL4063718,Cc1ccc(F)c(Nc2ncnc3cc(NC(=O)CCCCCCC(=O)NO)sc23)c1,IC50,7.53,29.56,7.53,-0.00
833,CHEMBL3601336,Cc1ccc(Nc2nccc3ccc(NC(=O)CCCCCCC(=O)NO)cc23)c(Cl)c1,IC50,7.52,29.91,7.52,0.00
834,CHEMBL2023528,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](NCc2ccc(-c3cn(CCCCCC(=O)NO)nn3)cc2)[C@H](O)[C@H](C)O1,IC50,7.52,30.00,7.52,0.00
835,CHEMBL3589700,O=C(CCCCCCC(=O)Nc1ccc(C2=C(c3ccc(O)cc3)C3CC(S(=O)(=O)Oc4cccc5ccccc45)C2O3)cc1)NO,IC50,7.52,30.00,7.52,0.00
836,CHEMBL1213458,Cn1c(/C=C/C(=O)NO)ccc1C(=O)Cc1ccccc1,Ki,7.52,30.00,7.52,0.00
837,CHEMBL3759791,O=C(NCCCCCCS)c1cc(-c2ccccc2)n[nH]1,IC50,7.52,30.00,7.52,0.00
838,CHEMBL3314861,O=C(/C=C/c1ccc(Cc2nnc(Cc3cccc4ccccc34)o2)cc1)NO,IC50,7.52,30.00,7.52,0.00
839,CHEMBL3339013,O=C(CCCCCC(=O)Nc1cc2c(Nc3ccc(Cl)c(C(F)(F)F)c3)ncnc2s1)NO,IC50,7.52,30.00,7.52,0.00
840,CHEMBL3314860,O=C(/C=C/c1ccc(-c2nnc(Cc3c[nH]c4ccccc34)o2)cc1)NO,IC50,7.52,30.00,7.52,0.00
841,CHEMBL4645688,COc1cc(OC)cc(C(=O)NOCCCCCC(=O)NO)c1,Ki,7.52,30.00,7.52,0.00
842,CHEMBL2333346,O=C(NO)C1=CCCC1,IC50,7.52,30.00,7.52,0.00
843,CHEMBL4062461,O=C(NO)c1ccc(Cn2c3c(c4ccccc42)CCN2C(=O)CCCC32)cc1,Ki,7.52,30.20,7.52,-0.00
844,CHEMBL4570194,O=C(CCc1csc(CCc2ccccc2)n1)NO,IC50,7.51,30.89,7.51,0.00
845,CHEMBL4299472,CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@](C)(OC)[C@H](O)[C@@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)Cc3ccccc3-c3cn(CCCCCCC(=O)NO)nn3)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,IC50,7.51,30.90,7.51,0.00
846,CHEMBL4551531,CCSc1ccc2c(c1)N(Cc1ccc(C(=O)NO)cc1)c1ccccc1S2,IC50,7.51,31.00,7.51,-0.00
847,CHEMBL3675761,Cc1ccc(N(CCCCCCC(=O)NO)c2ccccn2)nc1,IC50,7.51,31.00,7.51,-0.00
848,CHEMBL1099096,O=C(/C=C/c1cccc(-c2nc3ccccc3n2CCc2ccccc2)c1)NO,IC50,7.51,31.00,7.51,-0.00
849,CHEMBL3098697,O=C(CCCCC[C@H](NC(=O)[C@@H]1CCCC(=O)N1)C(=O)NC1CCCC1)NO,IC50,7.51,31.00,7.51,-0.00
850,CHEMBL4520424,O=C(CCc1cc(C(=O)NO)no1)Nc1nc(-c2ccccc2)cs1,IC50,7.51,31.00,7.51,-0.00
851,CHEMBL4458544,Cc1ccc(NC(=O)CCN(Cc2ccc(C(=O)NO)cc2)C(=O)c2cc(C)cc(C)c2)cc1,IC50,7.51,31.10,7.51,-0.00
852,CHEMBL3976023,O=C(NO)c1ccc(Cn2cccc2)cc1,IC50,7.50,31.30,7.50,0.00
853,CHEMBL4299488,CC[C@H]1OC(=O)[C@@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@](O)(CN(C)Cc3ccc(-c4cn(CCCCCCC(=O)NO)nn4)cc3)[C@H](C)O2)[C@H](C)[C@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@@](C)(O)C[C@H](C)CN(C)[C@@H](C)[C@H](O)[C@@]1(C)O,IC50,7.50,31.30,7.50,0.00
854,CHEMBL4299407,CC[C@@H]1OC(=O)[C@@H](C)[C@H](O[C@@H]2C[C@](C)(OC)[C@@](O)(CN(C)C)[C@@H](C)O2)[C@H](C)[C@H](O[C@@H]2O[C@H](C)C[C@H](N(C)Cc3ccc(-c4cn(CCCCCCC(=O)NO)nn4)cc3)[C@H]2O)[C@@](C)(OC)C[C@H](C)C(=O)[C@@H](C)[C@@H](O)[C@@]1(C)O,IC50,7.50,31.40,7.50,0.00
855,CHEMBL467792,CC(C)(C)OC(=O)Nc1ccc(-c2cc(C(=O)NCCCCC(=O)NO)no2)cc1,IC50,7.50,31.60,7.50,0.00
856,CHEMBL4299428,CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@](C)(OC)[C@@](O)(CN(C)Cc3ccc(-c4cn(CCCCCC(=O)NO)nn4)cc3)[C@@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,IC50,7.50,31.90,7.50,-0.00
857,CHEMBL2401845,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@]2(O)c1cn(CCCCCC(=O)NO)nn1,IC50,7.50,32.00,7.49,-0.01
858,CHEMBL4441436,O=C(NO)c1ccc(Cn2c(=O)n(CCc3ccccc3)c(=O)c3ccc(O)cc32)cc1,IC50,7.50,32.00,7.49,-0.01
859,CHEMBL1213457,O=C(/C=C/c1ccc(C(=O)N/N=C/c2ccc(O)c(O)c2O)cc1)NO,Ki,7.50,32.00,7.49,-0.01
860,CHEMBL4436806,CN1CCC2=C(C1)N(Cc1ccc(C(=O)NO)cc1)c1ccccc1S2,IC50,7.50,32.00,7.49,-0.01
861,CHEMBL3353062,O=C(NO)c1cc2n(c1)CCN(C(=O)c1ccc(-c3ccccc3)cc1)C2,IC50,7.50,32.00,7.49,-0.01
862,CHEMBL2425954,Cc1nc2ccc(/C=C/C(=O)NO)cc2c(=O)n1-c1ccccc1,IC50,7.50,32.00,7.49,-0.01
863,CHEMBL3601343,CCCCn1ccc2ccc(NC(=O)CCCCCCC(=O)NO)cc2c1=O,IC50,7.49,32.06,7.49,0.00
864,CHEMBL4299384,CC[C@@H]1OC(=O)[C@@H](C)[C@H](O[C@@H]2C[C@](C)(OC)[C@@](O)(CN(C)C)[C@@H](C)O2)[C@H](C)[C@H](O[C@@H]2O[C@H](C)C[C@H](N(C)Cc3ccc(-c4cn(CCCCCC(=O)NO)nn4)cc3)[C@H]2O)[C@@](C)(OC)C[C@H](C)C(=O)[C@@H](C)[C@@H](O)[C@@]1(C)O,IC50,7.48,32.90,7.48,0.00
865,CHEMBL4211463,COc1ccc(-c2ccc3c(NC(=O)c4ccc(C(=O)NO)cc4)n[nH]c3c2)cc1OC,IC50,7.48,33.00,7.48,0.00
866,CHEMBL3655969,CC(C)(Nc1ncc(C(=O)NO)cn1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,IC50,7.48,33.00,7.48,0.00
867,CHEMBL2425962,CCc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1CCCc1ccccc1,IC50,7.48,33.00,7.48,0.00
868,CHEMBL3759322,O=C(NCCCCCCS)c1cc(-c2c[nH]c3ccccc23)n[nH]1,IC50,7.48,33.00,7.48,0.00
869,CHEMBL4207836,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(OCc4ccc(C(=O)NO)cc4)ccc3OCC)nc12,IC50,7.48,33.00,7.48,0.00
870,CHEMBL4579366,O=C(NO)c1ccc(CN2c3ccccc3C[C@@H]3CCCCC[C@H]32)cc1,IC50,7.48,33.00,7.48,0.00
871,CHEMBL4066042,O=C(CS)NCCCCCOc1c(Cl)cc(Cl)c2cccnc12,IC50,7.48,33.30,7.48,-0.00
872,CHEMBL4514922,O=C(CCc1csc(CCc2cccs2)n1)NO,IC50,7.47,33.77,7.47,0.00
873,CHEMBL4097655,O=C(CCCCCCC(=O)Nc1cc2ncnc(Nc3cccc(Cl)c3)c2s1)NO,IC50,7.47,33.84,7.47,0.00
874,CHEMBL4203874,CCOc1cccc(-c2ccc3c(NC(=O)c4ccc(C(=O)NO)cc4)n[nH]c3c2)c1,IC50,7.47,34.00,7.47,-0.00
875,CHEMBL4092997,CCN(CC)CCNC(=O)c1ccc(-c2cn(CCCCCCC(=O)NO)nn2)cn1,IC50,7.47,34.00,7.47,-0.00
876,CHEMBL3335300,O=C(CCCCc1ccn(Cc2ccc(-c3ccccc3)cc2)n1)NO,IC50,7.47,34.00,7.47,-0.00
877,CHEMBL3704923,C#Cc1ccc(CNC(=O)O[C@H]2C[C@@H](C)C=C3C=C[C@H](C)[C@H](CC[C@@H]4C[C@@H](O[Si](C)(C)C(C)(C)C)CC(=O)O4)[C@H]32)cc1,IC50,7.47,34.00,7.47,-0.00
878,CHEMBL4551751,CC(=O)SCCCCCC(NC(=O)OCc1ccccc1)C(=O)Nc1cccc2cccnc12,IC50,7.47,34.00,7.47,-0.00
879,CHEMBL3775209,CN(c1ccc(OCCCC(=O)NO)cc1)c1ncnc2ccccc12,IC50,7.47,34.00,7.47,-0.00
880,CHEMBL2381519,O=C(NO)c1cccc(C(=O)NCc2ccccc2)c1,IC50,7.47,34.00,7.47,-0.00
881,CHEMBL3775409,Cc1nc(N(C)c2ccc(OCCCCCC(=O)NO)cc2)c2ccccc2n1,IC50,7.47,34.00,7.47,-0.00
882,CHEMBL3747043,COc1ccc(-c2nc(NC(=O)NCCCC(=O)NO)cc3c2[nH]c2ccccc23)cc1,IC50,7.47,34.00,7.47,-0.00
883,CHEMBL227120,CN(C)c1ccc(NC(=O)NCCCCCCC(=O)NO)cc1,IC50,7.46,34.50,7.46,0.00
884,CHEMBL2018294,Cc1cccc2c3c(n(Cc4ccc(C(=O)NO)cc4)c12)CCN(C)C3,IC50,7.46,34.70,7.46,-0.00
885,CHEMBL2425960,O=C(/C=C/c1ccc2c(=O)n(CCc3ccccc3)cnc2c1)NO,IC50,7.46,35.00,7.46,-0.00
886,CHEMBL3356928,O=C(Nc1ccccc1)[C@H](CCCCCS)NC(=O)[C@H]1C(=O)NC[C@H]1c1ccccc1,IC50,7.46,35.00,7.46,-0.00
887,CHEMBL4224911,CCc1cc(-c2ccc(F)cc2)nn1Cc1ccc(C(=O)NO)cc1,IC50,7.46,35.00,7.46,-0.00
888,CHEMBL4464975,O=C(NO)c1ccc(Cn2c(=O)n(CCc3ccccc3)c(=O)c3cc(Cl)ccc32)cc1,IC50,7.46,35.00,7.46,-0.00
889,CHEMBL468841,Nc1ccc(-c2cc(C(=O)NCCCCC(=O)NO)no2)cc1,IC50,7.46,35.10,7.45,-0.01
890,CHEMBL3593411,CC(C)[C@@H]1NC(=O)[C@]2(C)CSC(=N2)c2ccnc(c2)CNC(=O)C[C@@H](/C=C/CCS)OC1=O,IC50,7.45,35.16,7.45,0.00
891,CHEMBL4572459,COc1cc2nc(N3CCN(C(=O)CCCCCCC(=O)NO)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,IC50,7.45,35.50,7.45,-0.00
892,CHEMBL4068828,CC(C)c1cccc(Nc2ncnc3cc(NC(=O)CCCCCCC(=O)NO)sc23)c1,IC50,7.45,35.79,7.45,-0.00
893,CHEMBL3898702,O=C(NO)c1ccc(Cc2ccncc2)cc1,IC50,7.45,35.80,7.45,-0.00
894,CHEMBL3907669,O=C(NO)c1ccc(-c2ccncc2)cc1,IC50,7.45,35.80,7.45,-0.00
895,CHEMBL4069669,O=C(/C=C/c1ccc(CCNC(=O)c2cncc(F)c2)cc1)NO,IC50,7.44,35.94,7.44,0.00
896,CHEMBL4445342,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(CCCCC(=O)NO)c2c(=O)n1-c1ccccc1,IC50,7.44,36.00,7.44,0.00
897,CHEMBL3983635,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(=O)NCCCCCC(=O)NO)c(F)c1,IC50,7.44,36.00,7.44,0.00
898,CHEMBL4471619,O=C(NO)c1ccc(CN2c3ccccc3C[C@@H]3CCCC[C@H]32)cc1,IC50,7.44,36.00,7.44,0.00
899,CHEMBL2386908,CCc1c2c(nc3ccc(OCc4cn(CCCCCCC(=O)NO)nn4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,IC50,7.44,36.00,7.44,0.00
900,CHEMBL2381517,O=C(NO)c1cccc(C(=O)NCCc2ccccc2)c1,IC50,7.44,36.00,7.44,0.00
901,CHEMBL514351,Cc1ccc(NCc2ccc(/C=C/C(=O)NO)cc2)cc1Nc1nccc(-c2cccnc2)n1,IC50,7.44,36.00,7.44,0.00
902,CHEMBL209551,CC(C)(C)OC(=O)N[C@@H](CCCCCS)C(=O)NC1CCCCC1,IC50,7.44,36.00,7.44,0.00
903,CHEMBL4225495,Cc1cc(-c2ccc3c(c2)OCO3)n(Cc2ccc(C(=O)NO)cc2)n1,IC50,7.44,36.00,7.44,0.00
904,CHEMBL4094579,O=C(/C=C/c1ccc(CNCc2ccc3cccc(Cl)c3n2)cc1)NO,IC50,7.44,36.50,7.44,-0.00
905,CHEMBL4090841,CC(C)c1ccc(Nc2ncnc3cc(NC(=O)CCCCCCC(=O)NO)sc23)cc1,IC50,7.44,36.61,7.44,-0.00
906,CHEMBL561209,COc1ccc(-c2ccc(/C=C/C(=O)NO)cc2)cc1,IC50,7.43,36.80,7.43,0.00
907,CHEMBL4091531,O=C(CCCCCCC(=O)Nc1cc2ncnc(Nc3ccc(Cl)cc3F)c2s1)NO,IC50,7.43,36.98,7.43,0.00
908,CHEMBL4588261,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(NCCCC(=O)NO)c2c(=O)n1-c1ccccc1,IC50,7.43,37.00,7.43,0.00
909,CHEMBL4277089,O=C(NO)c1ccc(Cn2[se]c3ccccc3c2=O)cc1,IC50,7.43,37.00,7.43,0.00
910,CHEMBL4103801,O=C(NO)c1ccc(NCc2csc3ccc(Br)cc23)cc1,IC50,7.43,37.00,7.43,0.00
911,CHEMBL4442157,Cc1nc2c(s1)Sc1ccccc1N2Cc1ccc(C(=O)NO)cc1,IC50,7.43,37.00,7.43,0.00
912,CHEMBL4202521,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(-c4ccc(C(=O)NO)s4)ccc3OCC)nc12,IC50,7.43,37.00,7.43,0.00
913,CHEMBL566092,O=C(c1ccc(-c2ccc3c(c2)OCCO3)s1)C(F)(F)F,IC50,7.43,37.00,7.43,0.00
914,CHEMBL2333342,O=C(NO)c1ccc(C(=O)Nc2ccccc2)cc1,IC50,7.43,37.00,7.43,0.00
915,CHEMBL4435005,O=C(Cc1ccccc1)Nc1ccc(C(=O)NO)nc1,IC50,7.43,37.00,7.43,0.00
916,CHEMBL4435211,O=C(CCc1csc(CCc2cccc(F)c2)n1)NO,IC50,7.42,37.95,7.42,0.00
917,CHEMBL519134,CCSC(=S)SCC(=O)c1cccc(NC(=O)c2cccnc2)c1,IC50,7.42,38.00,7.42,0.00
918,CHEMBL3652232,CN(c1ccc(Cl)c(Cl)c1)c1ncc(C(=O)NO)cn1,IC50,7.42,38.00,7.42,0.00
919,CHEMBL4211477,O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc(-c4ccccc4)ccc23)cc1,IC50,7.42,38.00,7.42,0.00
920,CHEMBL2018297,Cc1cc(C)c2c3c(n(Cc4ccc(C(=O)NO)cc4)c2c1)CCN(C)C3,IC50,7.42,38.40,7.42,-0.00
921,CHEMBL3601344,CCN(CC)CCn1ccc2ccc(NC(=O)CCCCCCC(=O)NO)cc2c1=O,IC50,7.41,38.70,7.41,0.00
922,CHEMBL3353056,O=C(NO)c1cc2n(c1)CCN(C(=O)c1cc3ccccc3s1)C2,IC50,7.41,39.00,7.41,-0.00
923,CHEMBL568151,N=C(N)NCCC[C@@H]1NC(=O)C[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCCC(=O)NO)NC1=O,IC50,7.41,39.00,7.41,-0.00
924,CHEMBL4539040,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc(CCCCCC(=O)NO)c2ccccc2n1,IC50,7.41,39.00,7.41,-0.00
925,CHEMBL493315,Cc1ccc(NC(=O)c2ccc(/C=C/C(=O)NO)s2)cc1Nc1ncc(-c2cccnc2)s1,IC50,7.41,39.00,7.41,-0.00
926,CHEMBL4582980,O=C(CCc1csc(CCc2ccc(C(F)(F)F)cc2)n1)NO,IC50,7.41,39.07,7.41,-0.00
927,CHEMBL4087230,COc1ccc(Cl)cc1C(=O)NCCc1cccc(/C=C/C(=O)NO)c1,IC50,7.40,39.93,7.40,-0.00
928,CHEMBL1822050,CC(C)CCc1c(OCCCCCCC(=O)NO)ccc2c1OC(=O)CC2,IC50,7.40,39.97,7.40,-0.00
929,CHEMBL4204972,COc1ccccc1-c1ccc2c(NC(=O)c3ccc(C(=O)NO)cc3)n[nH]c2c1,IC50,7.40,40.00,7.40,-0.00
930,CHEMBL3775269,Cc1nc2c(c(N(C)c3ccc(OCCCC(=O)NO)cc3)n1)CCC2,IC50,7.40,40.00,7.40,-0.00
931,CHEMBL480729,CC(C)(C)OC(=O)NCCCC[C@@H]1C(=O)Nc2ccccc2N1Cc1ccc(C(=O)NO)cc1,IC50,7.40,40.00,7.40,-0.00
932,CHEMBL3655941,O=C(NO)c1cnc(NCCc2ccccc2-c2ccccc2)nc1,IC50,7.40,40.00,7.40,-0.00
933,CHEMBL3759067,O=C(O)Cn1nc(-c2ccc(F)cc2)cc1C(=O)NCCCCCCS,IC50,7.40,40.00,7.40,-0.00
934,CHEMBL518957,O=C(NO)c1ccc(CN2c3ccccc3NC(=O)[C@H]2Cc2cccs2)cc1,IC50,7.40,40.00,7.40,-0.00
935,CHEMBL481018,O=C(NO)c1ccc(CN2c3ccccc3NC(=O)[C@H]2Cc2ccc(F)c(F)c2)cc1,IC50,7.40,40.00,7.40,-0.00
936,CHEMBL360194,CC1(C)NC(=O)[C@H](CCCCCC(=O)NO)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,IC50,7.40,40.00,7.40,-0.00
937,CHEMBL1099057,O=C(/C=C/c1cccc(-c2nc3ccccc3n2CCN2CCCCC2)c1)NO,IC50,7.40,40.00,7.40,-0.00
938,CHEMBL1094792,C[C@H](c1ccccc1)n1c(-c2cccc(/C=C/C(=O)NO)c2)nc2ccccc21,IC50,7.40,40.00,7.40,-0.00
939,CHEMBL1094794,O=C(/C=C/c1cccc(-c2nc3ccccc3n2C2CCCNC2)c1)NO,IC50,7.40,40.00,7.40,-0.00
940,CHEMBL2442790,COc1cc([C@@H]2c3cc4c(cc3[C@@H](Nc3cccc(NC(=O)CCCCCCC(=O)NO)c3)[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,IC50,7.40,40.00,7.40,-0.00
941,CHEMBL4514330,CC(C)c1cc(C(=O)N(C)c2ccc(NC(=O)CCCCCCC(=O)NO)cc2)c(O)cc1O,IC50,7.40,40.00,7.40,-0.00
942,CHEMBL3309288,COc1ccc2cc(C(=O)NCCCCCCC(=O)NO)ccc2n1,IC50,7.40,40.00,7.40,-0.00
943,CHEMBL2048755,O=C(/C=C/c1ccc2c(ccn2Cc2ccccc2)c1)NO,IC50,7.39,40.40,7.39,0.00
944,CHEMBL3601335,Cc1ccc(Nc2nccc3ccc(NC(=O)CCCCCCC(=O)NO)cc23)c(F)c1,IC50,7.39,40.88,7.39,-0.00
945,CHEMBL4283913,O=C(NO)c1ccc(CN2CC3(CCCCC3)c3ccccc32)cc1,IC50,7.39,40.90,7.39,-0.00
946,CHEMBL1080580,Cc1ccc(NC(=O)c2ccc(/C=C/C(=O)NO)cc2)cc1Nc1nc(-c2cccnc2)cs1,IC50,7.39,41.00,7.39,-0.00
