,molecule_chembl_id,smiles,type,pchembl_value_average,standard_value_average,pchembl_ave_fromStandard,diff
14,CHEMBL420998,Nc1ccccc1NC(=O)CCCCCCC(=O)c1ccc(-c2cccnc2)cc1,IC50,5,10000,5,0
15,CHEMBL317718,Nc1ccccc1NC(=O)CCCCCCC(=O)c1cccc(-c2ccccc2)c1,IC50,6,1000,6,0
16,CHEMBL318821,Nc1ccccc1NC(=O)CCCCCN1Cc2ccccc2C1=O,IC50,5.4,4000,5.4,0
17,CHEMBL99398,Nc1ccccc1NC(=O)CCCCCN1C(=O)c2cccc3cc(O)cc(c23)C1=O,IC50,6,1000,6,0
18,CHEMBL97231,Nc1ccccc1NC(=O)CCCCCN1C(=O)c2cccc3c(Br)ccc(c23)C1=O,IC50,6,1000,6,0
19,CHEMBL97061,Nc1ccccc1NC(=O)CCCCCN1C(=O)c2cccnc2C1=O,IC50,5.3,5000,5.3,0
20,CHEMBL95213,Nc1ccccc1NC(=O)CCCCCCC(=O)c1ccc(-c2ccccc2)cc1,IC50,5.7,2000,5.7,0
21,CHEMBL317339,Nc1ccccc1NC(=O)CCCCCN1C(=O)c2ccccc2C1=O,IC50,5.7,2000,5.7,0
22,CHEMBL97003,Cn1c(=O)n(CCCCCC(=O)Nc2ccccc2N)c(=O)c2ccccc21,IC50,5.4,4000,5.4,0
23,CHEMBL97560,Cc1ccc2c(c1)C(=O)N(CCCCCC(=O)Nc1ccccc1N)C2=O,IC50,5.52,3000,5.52,0
24,CHEMBL95960,Nc1ccccc1NC(=O)CCCCCCC(=O)c1ccc(Br)cc1,IC50,5.22,6000,5.22,0
25,CHEMBL98724,COc1ccc(-c2ccc(C(=O)CCCCCCC(=O)Nc3ccccc3N)cc2)cc1OC,IC50,5.4,4000,5.4,0
26,CHEMBL327924,Nc1ccccc1NC(=O)CCCCCn1c(=O)[nH]c2ccccc2c1=O,IC50,5.4,4000,5.4,0
27,CHEMBL95792,Nc1ccccc1NC(=O)CCCCCCC(=O)c1ccc(-c2ccccc2)nc1,IC50,5.52,3000,5.52,0
28,CHEMBL97636,Nc1ccccc1NC(=O)CCCCCCC(=O)c1ccc2ccccc2c1,IC50,5.7,2000,5.7,0
29,CHEMBL318613,Nc1ccccc1NC(=O)CCCCCn1cnc2ccccc2c1=O,IC50,4.92,12000,4.92,0
30,CHEMBL97629,Nc1ccccc1NC(=O)CCCCCN1C(=O)c2cccc3c(CN4CCOCC4)c(O)cc(c23)C1=O,IC50,6.3,500,6.3,0
31,CHEMBL314301,Nc1ccccc1NC(=O)CCCCCN1C(=O)c2ccc(O)cc2C1=O,IC50,5.52,3000,5.52,0
32,CHEMBL95869,Nc1ccccc1NC(=O)CCCCCn1nnc2ccccc2c1=O,IC50,5.1,8000,5.1,0
33,CHEMBL318431,Nc1ccccc1NC(=O)CCCCCN1C(=O)c2cc(O)c(CN3CCCCC3)cc2C1=O,IC50,5.52,3000,5.52,0
34,CHEMBL419886,Nc1ccccc1NC(=O)CCCCCN1C(=O)c2cc(O)c(CN3CCOCC3)cc2C1=O,IC50,5.4,4000,5.4,0
35,CHEMBL329745,Nc1ccccc1NC(=O)CCCCCN1C(=O)c2cccc3c(CN4CCCCC4)c(O)cc(c23)C1=O,IC50,5.7,2000,5.7,0
36,CHEMBL336935,O=CN(O)CCCCCC(C(=O)Nc1ccc2ncccc2c1)C(=O)Nc1ccc2ncccc2c1,IC50,6.75,180,6.74,-0.01
37,CHEMBL140525,O=CN(O)CCCCCC(C(=O)Nc1cnc2ccccc2c1)C(=O)Nc1cnc2ccccc2c1,IC50,6.8,160,6.8,0
38,CHEMBL141909,O=CN(O)CCCCCCCC(=O)Nc1ccc2ccccc2c1,IC50,6.09,810,6.09,0
39,CHEMBL141885,O=CN(O)CCCCCNC(=O)CCc1ccccc1,IC50,4.31,49000,4.31,0
40,CHEMBL137875,O=CN(O)CCCCCCCC(=O)Nc1cccc2ccccc12,IC50,5.24,5700,5.24,0
41,CHEMBL337584,O=CN(O)CCCCCNC(=O)c1ccccc1,IC50,4.52,30000,4.52,0
42,CHEMBL343717,O=CN(O)CCCCCNC(=O)c1ccc2ccccc2c1,IC50,5.89,1300,5.89,0
43,CHEMBL2371801,CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccc(OC)cc2)NC(=O)[C@H](CCCCCC(=O)C(F)(F)F)NC(=O)[C@H]2CCCN2C1=O,IC50,6.14,730,6.14,0
44,CHEMBL2371802,CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccc(OC)cc2)NC(=O)[C@H](CCCCCC(=O)C(F)(F)C(F)(F)F)NC(=O)[C@H]2CCCN2C1=O,IC50,6.07,850,6.07,0
45,CHEMBL2371803,CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccc(OC)cc2)NC(=O)[C@H](CCCCSCC(=O)C(F)(F)F)NC(=O)[C@H]2CCCN2C1=O,IC50,7.4,40,7.4,0
46,CHEMBL197774,O=C(/C=C/c1ccc2c(c1)C(=O)N(Cc1ccccc1)C2=O)NO,IC50,6.24,572,6.24,0
47,CHEMBL214153,Nc1ccccc1NC(=O)/C=C/c1ccc(NCCCc2ccccc2)nc1,IC50,5.52,3000,5.52,0
48,CHEMBL425960,Nc1ccccc1NC(=O)/C=C/c1ccc(NCCNc2ccccc2)nc1,IC50,5.7,2000,5.7,0
49,CHEMBL378696,Nc1ccccc1NC(=O)/C=C/c1ccc(NCc2ccncc2)nc1,IC50,5.4,4000,5.4,0
50,CHEMBL211694,CN(C)c1ccc(CNc2ccc(/C=C/C(=O)Nc3ccccc3N)cn2)cc1,IC50,5.4,4000,5.4,0
51,CHEMBL376427,Nc1ccccc1NC(=O)/C=C/c1ccc(NCc2ccc(F)cc2)nc1,IC50,5.3,5000,5.3,0
52,CHEMBL425432,Nc1ccccc1NC(=O)/C=C/c1ccc(NCc2ccc(OC(F)(F)F)cc2)nc1,IC50,5.7,2000,5.7,0
53,CHEMBL378855,Nc1ccccc1NC(=O)/C=C/c1ccc(CNc2ccccc2)cc1,IC50,4.77,17000,4.77,0
54,CHEMBL213066,COc1cccc(NCc2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)c1,IC50,4.77,17000,4.77,0
55,CHEMBL213071,COc1ccccc1NCc1ccc(/C=C/C(=O)Nc2ccccc2N)cc1,IC50,4.66,22000,4.66,0
56,CHEMBL214211,COc1ccc(NCc2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)cc1OC,IC50,5.7,2000,5.7,0
57,CHEMBL209850,COc1cc(N(C)Cc2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)cc(OC)c1OC,IC50,5.52,3000,5.52,0
58,CHEMBL211942,Nc1ccccc1NC(=O)/C=C/c1ccc(NCc2ccncc2)cc1,IC50,5,10000,5,0
59,CHEMBL211342,Nc1ccccc1NC(=O)/C=C/c1ccc(NCc2ccc(OC(F)(F)F)cc2)cc1,IC50,5.3,5000,5.3,0
60,CHEMBL210122,Nc1ccccc1NC(=O)/C=C/c1ccc(NCc2ccc([N+](=O)[O-])cc2)cc1,IC50,5.4,4000,5.4,0
61,CHEMBL424873,COc1cc(CNc2ccc(C(=O)Nc3ccccc3N)cn2)cc(OC)c1OC,IC50,5.3,5000,5.3,0
62,CHEMBL213068,COc1ccc(CNc2ccc(C(=O)Nc3ccccc3N)cc2)cc1,IC50,5.7,2000,5.7,0
63,CHEMBL211624,COc1ccc(NCc2ccc(C(=O)Nc3ccccc3N)cc2)cc1,IC50,6.22,600,6.22,0
64,CHEMBL211395,COc1cc(NCc2ccc(C(=O)Nc3ccccc3N)cc2)cc(OC)c1OC,IC50,5.52,3000,5.52,0
65,CHEMBL213604,COc1cc(CNc2ccc(C(=O)Nc3ccccc3N)cc2)cc(OC)c1OC,IC50,5.52,3000,5.52,0
66,CHEMBL384472,COc1ccc2[nH]c(C)c(CC(=O)N[C@H](CCCCCC(C)=O)C(=O)NCCc3c(-c4ccccc4)[nH]c4ccccc34)c2c1,IC50,5.5,3200,5.49,-0.01
67,CHEMBL384463,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC=O)C(=O)NCCc3c(-c4ccccc4)[nH]c4ccccc34)c2c1,IC50,6.46,350,6.46,0
68,CHEMBL384384,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(=O)O)C(=O)NCCc3c(-c4ccccc4)[nH]c4ccccc34)c2c1,IC50,6.66,220,6.66,0
69,CHEMBL385550,COC(=O)CCCCC[C@H](NC(=O)Cc1c(C)[nH]c2ccc(OC)cc12)C(=O)NCCc1c(-c2ccccc2)[nH]c2ccccc12,IC50,6.82,150,6.82,0
70,CHEMBL216641,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(=O)NO)C(=O)NCCc3c(-c4ccccc4)[nH]c4ccccc34)c2c1,IC50,9.1,0.8,9.1,0
71,CHEMBL217025,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(N)=O)C(=O)NCCc3c(-c4ccccc4)[nH]c4ccccc34)c2c1,IC50,5.75,1760,5.75,0
72,CHEMBL425629,CC(=O)CCCCC[C@H](NC(=O)c1snnc1C)C(=O)NCCc1c(-c2ccccc2)[nH]c2ccccc12,IC50,6.32,480,6.32,0
73,CHEMBL217371,CC(=O)CCCCC[C@H](NC(=O)CN1CCCCC1)C(=O)NCCc1c(-c2ccccc2)[nH]c2ccccc12,IC50,6.72,190,6.72,0
74,CHEMBL385626,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(C)=O)C(=O)NCc3c(C)[nH]c4ccccc34)c2c1,IC50,6.25,560,6.25,0
75,CHEMBL384993,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(C)=O)C(=O)Nc3ccccc3)c2c1,IC50,6.75,180,6.74,-0.01
76,CHEMBL216414,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(C)=O)C(=O)Nc3ccccc3Cl)c2c1,IC50,5.48,3300,5.48,0
77,CHEMBL216176,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(C)=O)C(=O)Nc3cccc(Cl)c3)c2c1,IC50,7.36,44,7.36,0
78,CHEMBL216427,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(C)=O)C(=O)Nc3ccc(Cl)cc3)c2c1,IC50,6.64,230,6.64,0
79,CHEMBL384804,COc1cccc(NC(=O)[C@H](CCCCCC(C)=O)NC(=O)Cc2c(C)[nH]c3ccc(OC)cc23)c1,IC50,7.64,23,7.64,0
80,CHEMBL386069,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(C)=O)C(=O)Nc3cccc(-c4ccccc4)c3)c2c1,IC50,7.75,18,7.74,-0.01
81,CHEMBL217509,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(C)=O)C(=O)Nc3nc(-c4ccccc4)cs3)c2c1,IC50,7.6,25,7.6,0
82,CHEMBL385238,CC(=O)CCCCC[C@H](NC(=O)c1snnc1C)C(=O)Nc1cccc(Cl)c1,IC50,7,100,7,0
83,CHEMBL217781,COc1cccc(NC(=O)[C@H](CCCCCC(C)=O)NC(=O)c2cncs2)c1,IC50,7.48,33,7.48,0
84,CHEMBL217314,CC(=O)CCCCC[C@H](NC(=O)C1CCCCN1C)C(=O)Nc1cccc(-c2ccccc2)c1,IC50,7.1,79,7.1,0
85,CHEMBL217650,CC(=O)CCCCC[C@H](NC(=O)c1cncs1)C(=O)Nc1cccc(-c2ccccc2)c1,IC50,7.26,55,7.26,0
86,CHEMBL227722,COC(=O)C(Cc1cccc(C[C@H](NC(C)=O)C(=O)O)c1)NC(=O)[C@@H](N)CCCCCC(=O)NO,IC50,4.4,40000,4.4,0
87,CHEMBL227663,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCCCC(=O)NO)NC(=O)[C@H](C)NC(C)=O,IC50,6.76,174,6.76,0
88,CHEMBL389687,N[C@@H](Cc1ccccc1)C(=O)Nc1ccccc1-c1ccc(NC(=O)CCCCCCC(=O)NO)cc1,IC50,7.39,40.9,7.39,0
89,CHEMBL180064,CN(C)c1ccc(C(=O)NCCCNC(=O)CS)cc1,IC50,5.28,5260,5.28,0
90,CHEMBL427510,CN(C)c1ccc(C(=O)NCCCCNC(=O)CS)cc1,IC50,4.92,11900,4.92,0
91,CHEMBL180911,CN(C)c1ccc(C(=O)NCCCCCNC(=O)CS)cc1,IC50,5.97,1080,5.97,0
92,CHEMBL387924,O=C(CCCCCCC(=O)Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1)NO,IC50,8.07,8.5,8.07,0
93,CHEMBL227170,N[C@@H](Cc1ccc(O)cc1)C(=O)Nc1ccccc1-c1ccc(NC(=O)CCCCCCC(=O)NO)cc1,IC50,7.43,36.9,7.43,0
94,CHEMBL389688,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccccc1-c1ccc(NC(=O)CCCCCCC(=O)NO)cc1,IC50,7.57,26.7,7.57,0
95,CHEMBL440018,CN(C)c1ccc(C(=O)NCCCCCCNC(=O)CS)cc1,IC50,5.84,1430,5.84,0
96,CHEMBL427135,O=C(CS)NCCCCCCNC(=O)Nc1ccccc1,IC50,4.97,10800,4.97,0
97,CHEMBL227120,CN(C)c1ccc(NC(=O)NCCCCCCC(=O)NO)cc1,IC50,6.68,209,6.68,0
98,CHEMBL227119,CN(C)c1ccc(CNC(=O)NCCC(=O)NO)cc1,IC50,6.89,130,6.89,0
99,CHEMBL243181,O=C(/C=C/c1ccc(C(=O)c2cc3ccccc3n2S(=O)(=O)c2ccccc2)cc1)NO,IC50,6.16,690,6.16,0
100,CHEMBL395976,COc1cc(C(=O)c2cc3cc(/C=C/C(=O)NO)ccc3o2)cc(OC)c1OC,IC50,5.96,1100,5.96,0
101,CHEMBL244887,COc1cccc(C(=O)c2cc3cc(/C=C/C(=O)NO)ccc3o2)c1,IC50,6.02,950,6.02,0
102,CHEMBL397904,O=C(/C=C/c1ccc2oc(C(=O)c3ccccc3)cc2c1)NO,IC50,5.92,1200,5.92,0
103,CHEMBL244885,COc1cccc(C(=O)c2cc3cc(/C=C/C(=O)NO)ccc3[nH]2)c1,IC50,6.52,300,6.52,0
104,CHEMBL244670,O=C(/C=C/c1ccc2[nH]c(C(=O)c3ccccc3)cc2c1)NO,IC50,6.6,250,6.6,0
105,CHEMBL390910,COc1cccc(C(=O)c2cc3cc(/C=C/C(=O)NO)ccc3n2S(=O)(=O)c2ccccc2)c1,IC50,6.64,230,6.64,0
106,CHEMBL388429,O=C(/C=C/c1ccc2c(c1)cc(C(=O)c1ccccc1)n2S(=O)(=O)c1ccccc1)NO,IC50,6.7,200,6.7,0
107,CHEMBL390452,O=C(/C=C/c1cccc(C(=O)c2cc3ccccc3o2)c1)NO,IC50,7.28,52,7.28,0
108,CHEMBL243809,O=C(/C=C/c1ccc(C(=O)c2cc3ccccc3o2)cc1)NO,IC50,6.28,520,6.28,0
109,CHEMBL242533,O=C(/C=C/c1cccc(C(=O)c2cc3ccccc3[nH]2)c1)NO,IC50,7.51,31,7.51,0
110,CHEMBL396559,COc1ccc2[nH]c(C(=O)c3ccc(/C=C/C(=O)NO)cc3)cc2c1,IC50,6.5,320,6.49,-0.01
111,CHEMBL390908,O=C(/C=C/c1ccc(C(=O)c2cc3ccccc3[nH]2)cc1)NO,IC50,6.39,410,6.39,0
112,CHEMBL390907,O=C(/C=C/c1cccc(C(=O)c2cc3ccccc3n2S(=O)(=O)c2ccccc2)c1)NO,IC50,7.05,89,7.05,0
113,CHEMBL244040,COc1ccc2c(c1)cc(C(=O)c1ccc(/C=C/C(=O)NO)cc1)n2S(=O)(=O)c1ccccc1,IC50,6.06,880,6.06,0
114,CHEMBL237782,Nc1ccccc1NC(=O)c1ccc(N2CCN(C(=O)OCc3ccccc3)c3ccccc32)nc1,IC50,7.04,92,7.04,0
115,CHEMBL238213,Nc1ccccc1NC(=O)c1ccc(N2CCN(C(=O)OCc3ccccc3)C3CCC32)nc1,IC50,6.85,140,6.85,0
116,CHEMBL393389,Nc1ccccc1NC(=O)c1ccc(N2CCn3c(Cc4ccccc4)cnc3C2)nc1,IC50,6.65,222,6.65,0
117,CHEMBL238212,Nc1ccccc1NC(=O)c1ccc(N2CCn3c(-c4ccccc4)cnc3C2)nc1,IC50,6.86,139,6.86,0
118,CHEMBL238211,Nc1ccccc1NC(=O)c1ccc(N2CCN3CCCCC3C2)nc1,IC50,6.23,588,6.23,0
119,CHEMBL237995,Nc1ccccc1NC(=O)c1ccc(N2CC3CCC(C2)N3C(=O)OCc2ccccc2)nc1,IC50,7.09,82,7.09,0
120,CHEMBL237774,CC(C)(C)OC(=O)N1C2CCC1CN(c1ccc(C(=O)Nc3ccccc3N)cn1)C2,IC50,6.78,167,6.78,0
121,CHEMBL393117,Nc1ccccc1NC(=O)c1ccc(N2CC3CCC2CN3C(=O)OCc2cccnc2)nc1,IC50,7.04,91,7.04,0
122,CHEMBL237559,Nc1ccccc1NC(=O)c1ccc(N2CC3CCC2CN3C(=O)OCc2ccccc2)nc1,IC50,7.17,67,7.17,0
123,CHEMBL393116,CC(C)(C)OC(=O)N1CC2CCC1CN2c1ccc(C(=O)Nc2ccccc2N)cn1,IC50,6.17,669,6.17,0
124,CHEMBL237558,Nc1ccccc1NC(=O)c1ccc(N2CC3CCC2CN3)nc1,IC50,6.39,405,6.39,0
125,CHEMBL235652,Nc1ccccc1NC(=O)c1ccc(N2CC3CC2CN3c2ccc(F)cc2)nc1,IC50,7.27,54,7.27,0
126,CHEMBL235651,Nc1ccccc1NC(=O)c1ccc(N2CC3CC2CN3c2ccc(Cl)cc2)nc1,IC50,7.41,39,7.41,0
127,CHEMBL399003,Nc1ccccc1NC(=O)c1ccc(N2CC3CC2CN3C(=O)CCc2ccccc2)nc1,IC50,6.78,167,6.78,0
128,CHEMBL413799,Nc1ccccc1NC(=O)c1ccc(N2CC3CC2CN3Cc2ccccc2)nc1,IC50,6.63,235,6.63,0
129,CHEMBL401026,Nc1ccccc1NC(=O)c1ccc(N2CC3CC2CN3C(=O)OCc2ccccc2)nc1,IC50,7.17,68,7.17,0
130,CHEMBL392112,CC(C)(C)OC(=O)N1CC2CC1CN2c1ccc(C(=O)Nc2ccccc2N)cn1,IC50,6.72,189,6.72,0
131,CHEMBL237970,Nc1ccccc1NC(=O)c1ccc(N2CC3CC2CN3)nc1,IC50,6.51,307,6.51,0
132,CHEMBL237757,C[C@H]1CN(c2ccc(C(=O)Nc3ccccc3N)cn2)CCN1C(=O)NCCc1ccccc1,IC50,7.33,47,7.33,0
133,CHEMBL237756,C[C@H](NC(=O)N1CCN(c2ccc(C(=O)Nc3ccccc3N)cn2)C[C@@H]1C)c1ccccc1,IC50,7.33,47,7.33,0
134,CHEMBL237541,C[C@H]1CN(c2ccc(C(=O)Nc3ccccc3N)cn2)CCN1C(=O)N[C@H](C)c1ccccc1,IC50,7,101,7,0
135,CHEMBL237540,COc1ccc(CNC(=O)N2CCN(c3ccc(C(=O)Nc4ccccc4N)cn3)C[C@@H]2C)cc1,IC50,7.33,47,7.33,0
136,CHEMBL391111,C[C@H]1CN(c2ccc(C(=O)Nc3ccccc3N)cn2)CCN1C(=O)NCc1ccccc1,IC50,7.41,39,7.41,0
137,CHEMBL237539,C[C@H]1CN(c2ccc(C(=O)Nc3ccccc3N)cn2)CCN1C(=O)Nc1ccccc1,IC50,7.12,75,7.12,0
138,CHEMBL237328,CC1(C)CN(c2ccc(C(=O)Nc3ccccc3N)cn2)CCN1S(=O)(=O)c1ccccc1,IC50,6.83,149,6.83,0
139,CHEMBL237327,CC1(C)CN(c2ccc(C(=O)Nc3ccccc3N)cn2)CCN1C(=O)CCc1ccccc1,IC50,7.11,77,7.11,0
140,CHEMBL237110,CC(C)[C@H]1CN(c2ccc(C(=O)Nc3ccccc3N)cn2)CCN1C(=O)OCc1ccccc1,IC50,6.49,326,6.49,0
141,CHEMBL237109,C[C@H]1CN(c2ccc(C(=O)Nc3ccccc3N)cn2)[C@H](C)CN1C(=O)OCc1ccccc1,IC50,6.59,255,6.59,0
142,CHEMBL438121,CC1(C)CN(c2ccc(C(=O)Nc3ccccc3N)cn2)CCN1C(=O)OCc1ccccc1,IC50,6.77,169,6.77,0
143,CHEMBL237108,C[C@@H]1CN(c2ccc(C(=O)Nc3ccccc3N)cn2)CCN1C(=O)OCc1ccccc1,IC50,7.4,40,7.4,0
144,CHEMBL236901,CC(C)(C)OC(=O)N1CCN(c2ccc(C(=O)Nc3ccccc3N)cn2)C[C@@H]1Cc1ccccc1,IC50,6.45,352,6.45,0
145,CHEMBL391698,C[C@H]1CN(c2ccc(C(=O)Nc3ccccc3N)cn2)CCN1C(=O)OC(C)(C)C,IC50,6.62,242,6.62,0
146,CHEMBL538906,C[C@H]1CN(c2ccc(C(=O)Nc3ccccc3N)cn2)C[C@@H](C)N1,IC50,6.09,821,6.09,0
147,CHEMBL392644,CC1(C)CN(c2ccc(C(=O)Nc3ccccc3N)cn2)CCN1,IC50,6.28,529,6.28,0
148,CHEMBL237326,C[C@H]1CN(c2ccc(C(=O)Nc3ccccc3N)cn2)[C@H](C)CN1,IC50,6.24,582,6.24,0
149,CHEMBL237325,Nc1ccccc1NC(=O)c1ccc(N2CCN[C@@H](Cc3ccccc3)C2)nc1,IC50,6.52,301,6.52,0
150,CHEMBL237324,CC(C)[C@H]1CN(c2ccc(C(=O)Nc3ccccc3N)cn2)CCN1,IC50,6.52,304,6.52,0
151,CHEMBL236892,C[C@H]1CN(c2ccc(C(=O)Nc3ccccc3N)cn2)CCN1,IC50,6.36,435,6.36,0
152,CHEMBL236680,Nc1ccccc1NC(=O)c1ccc(N2CCN(C(=O)OCc3ccccc3)CC2)nc1,IC50,6.78,168,6.77,-0.01
153,CHEMBL236679,CN(CCN(C)c1ccc(C(=O)Nc2ccccc2N)cn1)C(=O)OCc1ccccc1,IC50,6.02,963,6.02,0
154,CHEMBL236129,O=C(N[C@@H](CCCCCS)C(=O)NC1CCCC1)OCc1ccccc1,IC50,6.89,130,6.89,0
155,CHEMBL391396,O=C(N[C@@H](CCCCCS)C(=O)NC1CCCC1)OC1CCCCC1,IC50,5.99,1030,5.99,0
156,CHEMBL236128,COC(=O)N[C@@H](CCCCCS)C(=O)NC1CCCC1,IC50,5.63,2320,5.63,0
157,CHEMBL235918,CC(C)(C)NC(=S)N[C@@H](CCCCCS)C(=O)NC1CCCC1,IC50,6.4,400,6.4,0
158,CHEMBL391395,CC(C)(C)NC(=O)N[C@@H](CCCCCS)C(=O)NC1CCCC1,IC50,6.34,460,6.34,0
159,CHEMBL235917,CC(C)(C)C(=O)N[C@@H](CCCCCS)C(=O)NC1CCCC1,IC50,5.84,1430,5.84,0
160,CHEMBL235704,O=C(CO)N[C@@H](CCCCCS)C(=O)NC1CCCC1,IC50,5.7,1980,5.7,0
161,CHEMBL235703,O=C(N[C@@H](CCCCCS)C(=O)NC1CCCC1)c1ccc(Cl)cc1,IC50,5.84,1430,5.84,0
162,CHEMBL235702,O=C(N[C@@H](CCCCCS)C(=O)NC1CCCC1)c1ccccc1,IC50,6.25,560,6.25,0
163,CHEMBL235911,N[C@@H](CCCCCS)C(=O)NC1CCCC1,IC50,4.28,52300,4.28,0
164,CHEMBL393827,CC(C)(C)OC(=O)N[C@@H](CCCCCS)C(=O)NC12CC3CC(CC(C3)C1)C2,IC50,5.42,3800,5.42,0
165,CHEMBL235909,CC(C)(C)NC(=O)[C@H](CCCCCS)NC(=O)OC(C)(C)C,IC50,5.52,3000,5.52,0
166,CHEMBL235263,CC(C)(C)OC(=O)N[C@@H](CCCCCS)C(=O)Nc1cnc2ccccc2c1,IC50,7.29,51,7.29,0
167,CHEMBL235262,CC(C)(C)OC(=O)N[C@@H](CCCCCS)C(=O)Nc1cccc(-c2ccccc2)c1,IC50,7.21,62,7.21,0
168,CHEMBL235413,COc1ccc(NCc2ccc(C(=O)Nc3cc(-c4cccs4)ccc3O)cc2)cc1OC,IC50,7.4,40,7.4,0
169,CHEMBL235411,COc1ccc(NCc2ccc(C(=O)Nc3ccccc3O)cc2)cc1OC,IC50,6.52,300,6.52,0
170,CHEMBL235192,COc1ccc(NCc2ccc(C(=O)Nc3cc(-c4ccoc4)ccc3N)cc2)cc1OC,IC50,7.3,50,7.3,0
171,CHEMBL399388,COc1ccc(NCc2ccc(C(=O)Nc3cc(-c4ccsc4)ccc3N)cc2)cc1OC,IC50,7.3,50,7.3,0
172,CHEMBL392747,COc1ccc(NCc2ccc(C(=O)Nc3cc(-c4ccccc4)ccc3N)cc2)cc1OC,IC50,7.22,60,7.22,0
173,CHEMBL237584,COc1ccc(NCc2ccc(C(=O)Nc3cc(-c4cccs4)ccc3N)cc2)cc1OC,IC50,7.3,50,7.3,0
174,CHEMBL236061,COc1ccc(C(=O)Nc2ccccc2N)cc1,IC50,5.7,2000,5.7,0
175,CHEMBL393242,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc2nccnc2c1,IC50,7.22,60,7.22,0
176,CHEMBL236060,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,IC50,5.7,2000,5.7,0
